Reports - Group Journal - 01/01/2023 - 31/12/2023 - All - 0 - All,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Company Confidential,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Event Id,PropertyId,Property_Type,Max Depth,Interceptor,InterceptorRemoval,Greater24Hours,Occ Basement,CauseOfBlockage,OSPostcode,OSRoad,OSPostTown,OSCounty,Flood Incident Date,SewTypeCode,FloodCatCode,FloodLevelCode,FloodLocCode,Rainfall Return,Job Creation Date,Asset Owner
513848,1184223,Commercial,Less than 30 mm,,,,,,E10 5XX,HIGH ROAD LEYTON,LONDON,,2023-09-08 00:00:00,F,B,A,E,0,2023-09-19 00:00:00,TWUL (EX S24)
514190,1184372,Commercial,Less than 30 mm,No,No,No,No,UK,E10 6XX,HIGH ROAD LEYTON,LONDON,,2023-09-29 00:00:00,F,B,A,E,0,2023-09-29 00:00:00,TWUL (EX S24)
516835,1185588,Commercial,Less than 30 mm,,,,,DEF,E10 6XX,LEA BRIDGE ROAD,LONDON,,2023-12-16 00:00:00,F,B,B,I,0,2023-12-18 00:00:00,TWUL (EX S24)
516495,1174806,House/ Flat,Less than 30 mm,,,,,PR,HA0 4XX,BELMONT AVENUE,WEMBLEY,MIDDLESEX,2023-03-18 00:00:00,F,B,A,E,0,2023-12-08 00:00:00,TWUL (EX S24)
515907,1174806,House/ Flat,Less than 30 mm,,,,,UK,HA0 4XX,BELMONT AVENUE,WEMBLEY,MIDDLESEX,2023-06-22 00:00:00,F,B,A,E,0,2023-11-22 00:00:00,TWUL (EX S24)
515908,1174806,House/ Flat,Less than 30 mm,,,,,UK,HA0 4XX,BELMONT AVENUE,WEMBLEY,MIDDLESEX,2023-08-30 00:00:00,F,B,A,E,0,2023-11-22 00:00:00,TWUL (EX S24)
508625,1181304,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 4XX,WOODSTOCK ROAD,WEMBLEY,MIDDLESEX,2023-01-21 00:00:00,F,B,A,E,0,2023-01-21 00:00:00,TWUL (EX S24)
509087,1181562,House/ Flat,Less than 30 mm,,,,,UK,CM5 9XX,SHAKLETONS,ONGAR,ESSEX,2023-02-03 00:00:00,F,B,A,E,0,2023-02-04 00:00:00,TWUL (LOCAL)
509580,1181847,Commercial,Less than 30 mm,,,Yes,,UK,CM5 9XX,HIGH STREET,ONGAR,,2023-02-20 00:00:00,F,B,A,I,0,2023-02-21 00:00:00,TWUL (LOCAL)
514979,1119555,House/ Flat,Less than 30 mm,No,No,No,No,UK,DA1 1XX,DORCHESTER CLOSE,DARTFORD,,2023-10-26 00:00:00,F,B,A,E,0,2023-10-26 00:00:00,TWUL (EX S24)
509440,1142159,House/ Flat,Less than 30 mm,,,,Yes,FG,SE1 8XX,BELVEDERE ROAD,LONDON,,2023-01-16 00:00:00,F,B,B,I,2,2023-02-17 00:00:00,TWUL (LOCAL)
515998,1185177,House/ Flat,Less than 30 mm,,,,,FG,HA0 4XX,VICTOR GROVE,WEMBLEY,MIDDLESEX,2023-04-09 00:00:00,F,B,A,E,0,2023-11-23 00:00:00,TWUL (EX S24)
516004,1185177,House/ Flat,Less than 30 mm,,,Yes,,UK,HA0 4XX,VICTOR GROVE,WEMBLEY,MIDDLESEX,2023-07-26 00:00:00,F,B,A,E,0,2023-11-23 00:00:00,TWUL (EX S24)
